Coord0	Coord_1	Predict_Label	Probability
43	32	0	0.9990544
1210	11	1	0.57315946
1747	21	0	0.62259436
1846	12	0	0.6130516
486	34	0	0.91854554
734	45	0	0.9999355
363	65	0	0.98212415
189	91	1	0.96703357
1715	68	0	0.9771836
807	74	0	0.99903214
1023	69	0	0.9641636
1524	150	0	0.94280994
638	87	0	0.9804868
1677	93	0	0.99960715
228	93	0	0.98995775
382	110	0	0.9966156
726	101	0	0.9912806
1350	208	1	0.9989095
1041	195	0	0.97856826
254	226	0	0.98143125
638	204	0	0.999383
1117	209	0	0.99706703
444	222	0	0.9989073
505	242	0	0.9772618
780	253	0	0.9942139
1770	290	0	0.9998462
89	315	1	0.7497731
371	325	1	0.6307405
467	324	0	0.9905614
675	333	0	0.9845473
1645	355	1	0.5502462
1471	353	0	0.998874
146	358	0	0.9974886
1551	354	0	0.9999839
795	372	0	0.9980567
301	386	0	0.9970439
546	410	1	0.99771535
1730	372	0	0.9956886
1034	392	0	0.86100835
1517	407	0	0.9995364
1441	410	0	0.9101705
1368	422	0	0.99650526
325	437	0	0.9758571
1229	464	0	0.9997899
43	506	0	0.99321634
1773	496	0	0.9896656
1629	511	0	0.99886775
97	509	0	0.9991597
521	533	1	0.54395026
426	517	0	0.99370193
1674	550	0	0.83041316
1186	645	0	0.999537
312	659	0	0.97475976
1122	672	0	0.97785175
1300	702	0	0.9993654
1005	749	1	0.99729353
139	767	0	0.58551794
1880	775	0	0.9701872
1447	808	0	0.99315506
284	810	0	0.9990828
699	852	1	0.8890197
1758	840	0	0.9992324
1570	834	0	0.9999428
120	847	0	0.98762333
537	883	0	0.99669504
487	920	0	0.9969567
1473	928	0	0.9684544
199	929	0	0.99542433
1633	944	1	0.874518
1315	966	0	0.98059916
154	956	0	0.99606365
990	981	0	0.7436153
33	987	0	0.99709964
1767	999	0	0.9998902
93	1008	0	0.99921083
314	1008	0	0.5540703
438	1033	1	0.5214189
280	1041	0	0.999814
14	1070	1	0.89960855
1712	1078	0	0.9997583
1424	1074	0	0.988561
944	1148	0	0.5453825
1527	1133	0	0.99871445
1318	1237	1	0.7680479
1901	1282	0	0.8635612
325	1290	0	0.68879676
1592	1307	0	0.9987935
614	1309	0	0.9961605
1241	1345	1	0.6261497
483	1335	0	0.99957365
1349	1358	0	0.9992029
296	1372	0	0.9936314
26	1385	0	0.53849226
1648	1414	0	0.9997373
